dish,mood,dayStatus,craving,diet,cuisines
Fries (Medium),Tired,Normal,Spicy,Veg,Fast Food
Fries (Large),Stressed,Normal,Heavy,Veg,Fast Food
Tomato Ketchup Sachet,Tired,Lazy,Spicy,Veg,Fast Food
9 Pc Chicken Nuggets,Stressed,Normal,Light,Non-Veg,Fast Food
6 Pc Chicken Nuggets,Happy,Hectic,Spicy,Non-Veg,Fast Food
Chilli Sauce Sachet,Happy,Lazy,Sweet,Veg,Fast Food
Veg Pizza McPuff,Tired,Normal,Spicy,Veg,Fast Food
Classic Corn Cup,Tired,Lazy,Heavy,Veg,Fast Food
Fries (M) + Piri Piri Mix,Tired,Hectic,Heavy,Veg,Fast Food
Classic Cheese Fries,Tired,Productive,Sweet,Veg,Fast Food
20 Pc Chicken Nuggets,Happy,Normal,Heavy,Non-Veg,Fast Food
Barbeque Sauce,Tired,Hectic,Light,Veg,Fast Food
4 Pcs Chicken Nuggets,Sad,Normal,Sweet,Non-Veg,Fast Food
Mustard Sauce,Happy,Productive,Sweet,Veg,Fast Food
Nether Flame Sauce,Happy,Lazy,Sweet,Veg,Fast Food
Korean Shake Shake Chicken Nuggets 6 pc,Happy,Productive,Heavy,Non-Veg,Fast Food
Korean Shake Shake Fries (M),Sad,Productive,Light,Veg,Fast Food
Korean Spice Mix,Tired,Normal,Sweet,Veg,Fast Food
Mango Smoothie,Stressed,Lazy,Heavy,Veg,Fast Food
Ice Americano Coffee,Tired,Lazy,Heavy,Veg,Fast Food
Chocolate Frappe,Stressed,Productive,Spicy,Veg,Fast Food
McCafe-Ice Coffee,Stressed,Hectic,Light,Veg,Fast Food
Mixed Berry Smoothie,Stressed,Productive,Heavy,Veg,Fast Food
American Mud Pie Shake,Stressed,Hectic,Spicy,Veg,Fast Food
Hot Chocolate (S),Sad,Hectic,Light,Veg,Fast Food
Mocha Coffee (R),Tired,Hectic,Light,Veg,Fast Food
Mocha Coffee (S),Stressed,Normal,Spicy,Veg,Fast Food
Coke,Tired,Lazy,Light,Veg,Fast Food
Hot Chocolate (R),Tired,Hectic,Sweet,Veg,Fast Food
Coke zero can,Happy,Hectic,Sweet,Veg,Fast Food
Schweppes Water bottle,Stressed,Hectic,Light,Veg,Fast Food
Fanta,Sad,Normal,Light,Veg,Fast Food
Mixed Fruit Beverage,Tired,Lazy,Sweet,Veg,Fast Food
Sprite,Sad,Productive,Sweet,Veg,Fast Food
Latte Coffee (S),Happy,Normal,Heavy,Veg,Fast Food
Flat White Coffee,Happy,Productive,Spicy,Veg,Fast Food
Latte Coffee (R),Sad,Lazy,Sweet,Veg,Fast Food
Americano Coffee (R),Happy,Normal,Sweet,Veg,Fast Food
Americano Coffee (S),Tired,Hectic,Heavy,Veg,Fast Food
Moroccan Mint Green Tea (R ),Happy,Productive,Sweet,Veg,Fast Food
English Breakfast Tea,Sad,Lazy,Spicy,Veg,Fast Food
Strawberry Green Tea (S),Happy,Productive,Heavy,Veg,Fast Food
Cappuccino Coffee (R),Happy,Lazy,Sweet,Veg,Fast Food
Cappuccino Coffee (S),Happy,Normal,Sweet,Veg,Fast Food
Berry Lemonade Regular,Sad,Productive,Spicy,Veg,Fast Food
Chocolate Flavoured Shake,Stressed,Lazy,Sweet,Veg,Fast Food
McCafe-Classic Coffee,Stressed,Productive,Spicy,Veg,Fast Food
Mocha Frappe,Happy,Hectic,Sweet,Veg,Fast Food
Espresso Shot,Tired,Normal,Sweet,Veg,Fast Food
Cappuccino Small with Hazelnut,Happy,Hectic,Sweet,Veg,Fast Food
Ice Tea - Green Apple flavour,Sad,Productive,Sweet,Veg,Fast Food
Ice Tea - lemon flavour,Stressed,Lazy,Light,Veg,Fast Food
Ice Tea- strawberry flavour,Happy,Hectic,Sweet,Veg,Fast Food
Strawberry Shake,Tired,Normal,Sweet,Veg,Fast Food
Cappuccino Small with French Vanilla,Happy,Hectic,Spicy,Veg,Fast Food
Classic Coffee Regular with French Vanilla,Stressed,Productive,Heavy,Veg,Fast Food
Classic Coffee Regular with Hazelnut,Tired,Hectic,Heavy,Veg,Fast Food
Iced Coffee with French Vanilla,Sad,Productive,Spicy,Veg,Fast Food
Iced Coffee with Hazelnut,Tired,Hectic,Light,Veg,Fast Food
Korean Yuzu-Pop Sprite.,Sad,Lazy,Heavy,Veg,Fast Food
Chocochip Muffin,Sad,Productive,Light,Veg,Fast Food
Choco Crunch Cookie,Sad,Normal,Heavy,Veg,Fast Food
Cinnamon Raisin Cookie,Stressed,Hectic,Spicy,Veg,Fast Food
Cold Coffee  Combo,Happy,Hectic,Light,Veg,Fast Food
Indulge Choco Jar Dessert,Happy,Lazy,Heavy,Veg,Fast Food
Hot  Coffee Combo,Tired,Productive,Spicy,Veg,Fast Food
Indulge Combo,Tired,Hectic,Light,Veg,Fast Food
Take a break Combo,Tired,Hectic,Light,Veg,Fast Food
Treat Combo,Happy,Lazy,Light,Veg,Fast Food
Chimichurri Chicken Strips Burger Wrap .,Happy,Hectic,Spicy,Non-Veg,Fast Food
Chimichurri Chicken Burger Wrap .,Happy,Normal,Light,Non-Veg,Fast Food
Chimichurri Chicken Salad Burger Wrap .,Sad,Normal,Heavy,Non-Veg,Fast Food
Chimichurri Paneer Burger Wrap .,Sad,Hectic,Sweet,Veg,North Indian
Chimichurri Paneer Salad Burger Wrap .,Stressed,Hectic,Heavy,Veg,North Indian
Chimichurri Chicken Strips Salad Burger Wrap .,Tired,Productive,Sweet,Non-Veg,Fast Food
Cheese Jalapeno Chicken Salad Burger Wrap,Sad,Lazy,Sweet,Non-Veg,Fast Food
Jalapeno Cheese Paneer Salad Burger Wrap.,Tired,Lazy,Sweet,Veg,North Indian
Chicken Strips Chilli Wrap,Sad,Normal,Heavy,Non-Veg,Fast Food
Chicken Strips Chipotle Wrap,Sad,Lazy,Spicy,Non-Veg,Fast Food
Cheesy Jalapeno Chicken Strips Salad Burger Wrap,Happy,Productive,Sweet,Non-Veg,Fast Food
Spiced Chicken Strips Salad Burger Wrap,Sad,Hectic,Spicy,Non-Veg,Fast Food
Buldak Fried Paneer Korean Wrap (Spicy).,Happy,Hectic,Light,Veg,North Indian
Buldak Chicken Popcorn Korean Wrap (Spicy).,Tired,Hectic,Heavy,Non-Veg,Fast Food
Buldak Chicken Strips Korean Wrap (Spicy).,Sad,Hectic,Spicy,Non-Veg,Fast Food
Pizza Puff.,Stressed,Lazy,Sweet,Veg,Fast Food
Chimichurri Chicken Burger Wrap,Stressed,Hectic,Spicy,Non-Veg,Fast Food
Chimichurri Chicken Salad Burger Wrap,Tired,Productive,Sweet,Non-Veg,Fast Food
Chimichurri Paneer Burger Wrap,Sad,Normal,Sweet,Veg,North Indian
Chimichurri Paneer Salad Burger Wrap,Sad,Hectic,Sweet,Veg,North Indian
Chimichurri Chicken Strips Burger Wrap .,Tired,Hectic,Sweet,Non-Veg,Fast Food
Chimichurri Chicken Burger Wrap .,Sad,Normal,Light,Non-Veg,Fast Food
Chimichurri Chicken Salad Burger Wrap .,Stressed,Lazy,Spicy,Non-Veg,Fast Food
Chimichurri Paneer Burger Wrap .,Happy,Productive,Sweet,Veg,North Indian
Chimichurri Paneer Salad Burger Wrap .,Happy,Lazy,Spicy,Veg,North Indian
Chimichurri Chicken Strips Salad Burger Wrap .,Sad,Normal,Light,Non-Veg,Fast Food
Cheese Jalapeno Chicken Salad Burger Wrap,Happy,Hectic,Heavy,Non-Veg,Fast Food
Jalapeno Cheese Paneer Salad Burger Wrap.,Happy,Hectic,Heavy,Veg,North Indian
Chicken Strips Chilli Wrap,Stressed,Normal,Sweet,Non-Veg,Fast Food
Chicken Strips Chipotle Wrap,Tired,Lazy,Sweet,Non-Veg,Fast Food
Cheesy Jalapeno Chicken Strips Salad Burger Wrap,Happy,Lazy,Light,Non-Veg,Fast Food
Spiced Chicken Strips Salad Burger Wrap,Sad,Hectic,Light,Non-Veg,Fast Food
Buldak Fried Paneer Korean Wrap (Spicy).,Happy,Normal,Light,Veg,North Indian
Buldak Chicken Popcorn Korean Wrap (Spicy).,Tired,Productive,Light,Non-Veg,Fast Food
Buldak Chicken Strips Korean Wrap (Spicy).,Happy,Productive,Sweet,Non-Veg,Fast Food
Pizza Puff.,Happy,Hectic,Heavy,Veg,Fast Food
Chimichurri Chicken Burger Wrap,Stressed,Normal,Heavy,Non-Veg,Fast Food
Chimichurri Chicken Salad Burger Wrap,Sad,Lazy,Spicy,Non-Veg,Fast Food
Chimichurri Paneer Burger Wrap,Sad,Lazy,Sweet,Veg,North Indian
Chimichurri Paneer Salad Burger Wrap,Tired,Lazy,Spicy,Veg,North Indian
Chipotle Chicken Patty Wrap.,Sad,Hectic,Light,Non-Veg,Fast Food
Chimichurri Chicken Strips Salad Burger Wrap.,Tired,Hectic,Sweet,Non-Veg,Fast Food
Chimichurri Chicken Strips Burger Wrap.,Stressed,Lazy,Sweet,Non-Veg,Fast Food
Spicy Chicken Salad Burger Wrap.,Sad,Normal,Sweet,Non-Veg,Fast Food
Chipotle Aloo Patty Burger Wrap,Stressed,Normal,Heavy,Veg,Fast Food
Chipotle Crispy Chicken Wrap .,Happy,Productive,Sweet,Non-Veg,Fast Food
Chipotle Chicken Strips Wrap.,Happy,Lazy,Heavy,Non-Veg,Fast Food
Chilli Chicken Strips Wrap.,Stressed,Productive,Light,Non-Veg,Fast Food
Chipotle Veg Fingers Burger Wrap,Tired,Normal,Sweet,Veg,Fast Food
Jalapeno Cheese Paneer Salad Burger Wrap,Tired,Lazy,Sweet,Veg,North Indian
Jalapeno Cheese Chicken Salad Burger Wrap.,Sad,Normal,Heavy,Non-Veg,Fast Food
Spicy Chicken Strips Salad Burger Wrap.,Sad,Hectic,Light,Non-Veg,Fast Food
Jalapeno Cheese Chicken Strips Salad Burger Wrap.,Tired,Productive,Heavy,Non-Veg,Fast Food
Chilli Crispy Chicken Wrap .,Tired,Lazy,Heavy,Non-Veg,Fast Food
Veg Burger Wrap and Side Meal,Sad,Lazy,Heavy,Veg,Fast Food
Veg Burger Wrap with Side and Beverage Meal,Happy,Lazy,Heavy,Veg,Fast Food
Non-Veg Burger Wrap and Side Meal,Sad,Productive,Sweet,Veg,Fast Food
Non-Veg Burger Wrap with Side and Beverage Meal,Happy,Normal,Sweet,Veg,Fast Food
2 Burger Wraps at 120 each,Tired,Normal,Heavy,Veg,Fast Food
Chipotle Chicken Popcorn Burger Wrap & Chilli Chicken Strips Burger Wrap,Happy,Lazy,Sweet,Non-Veg,Fast Food
2 Chipotle Chicken Patty Wrap.,Stressed,Lazy,Light,Non-Veg,Fast Food
2 Classic Veg Rolls at 160 each,Stressed,Lazy,Spicy,Veg,Snacks
1 Cheesy Paneer Wrap + 1 Masala Paneer Tikka Wrap,Stressed,Hectic,Sweet,Veg,North Indian
2 Classic Non-Veg Rolls at 165 each,Happy,Hectic,Light,Veg,Snacks
2 Non-Veg Shawarmas at 195 each .,Tired,Hectic,Sweet,Veg,Fast Food
1 Non-Veg Classic Wrap + 1 Non-Veg Rice Bowl,Happy,Hectic,Sweet,Veg,Fast Food
1 Chicken Bhuna Wrap + 1 Masala Chicken Tikka Wrap,Happy,Hectic,Spicy,Non-Veg,Fast Food
1 Veg Classic Wrap + 1 Veg Rice Bowl,Tired,Productive,Heavy,Veg,Fast Food
2 Signature Veg Wraps at 195 each,Tired,Normal,Heavy,Veg,Fast Food
2 Signature Non-Veg Wraps at 220 each,Sad,Hectic,Light,Veg,Fast Food
2 Burger Wrap at 120 each,Stressed,Normal,Spicy,Veg,Fast Food
2 Chipotle Chicken Patty Wrap,Happy,Hectic,Light,Non-Veg,Fast Food
3 Veg Classic Wraps at 106 each,Stressed,Lazy,Light,Veg,Fast Food
4 Classic Veg Wraps at 409,Happy,Lazy,Light,Veg,Fast Food
2 Classic Rolls (1 Veg + 1 Non-Veg) starting at 115 each,Stressed,Productive,Light,Veg,Snacks
3 Non-Veg Classic Wraps at 103 each,Sad,Lazy,Spicy,Veg,Fast Food
4 Classic Non-Veg Wraps at 429,Happy,Productive,Light,Veg,Fast Food
2 Veg Shawarmas at 185 each,Happy,Normal,Sweet,Veg,Fast Food
2 Classic Veg Rolls at 160 each.,Sad,Productive,Sweet,Veg,Snacks
Aloo Patty Chipotle Burger Wrap,Happy,Lazy,Light,Veg,Fast Food
Pindi Chole Roll,Stressed,Normal,Heavy,Veg,Snacks
Spicy Indie Chatpata Aloo Wrap,Tired,Hectic,Light,Veg,Fast Food
Veg Fingers Chipotle Burger Wrap,Tired,Lazy,Sweet,Veg,Fast Food
2 Classic Non-Veg Rolls at 165 each .,Happy,Lazy,Spicy,Veg,Snacks
Chatpata Double Egg Roll,Happy,Lazy,Light,Non-Veg,Snacks
Cheese Melt Double Egg Roll,Sad,Lazy,Light,Non-Veg,Snacks
2 Burger Wraps at 105 each.,Sad,Hectic,Sweet,Veg,Fast Food
Chipotle Crispy Chicken Patty Wrap,Tired,Productive,Spicy,Non-Veg,Fast Food
Cheesy Egg Chicken Sausage Wrap,Stressed,Productive,Sweet,Non-Veg,Fast Food
Chipotle Aloo Patty Burger Wrap.,Tired,Lazy,Spicy,Veg,Fast Food
Masala Paneer Tikka Wrap,Stressed,Normal,Heavy,Veg,North Indian
Chipotle Veg Fingers Burger Wrap.,Happy,Productive,Sweet,Veg,Fast Food
Cheese Melt Paneer Wrap,Happy,Lazy,Heavy,Veg,North Indian
Cheesy Corn Salsa Wrap,Happy,Productive,Light,Veg,Fast Food
Masala Mushroom Wrap,Happy,Lazy,Light,Veg,Fast Food
Veg Falafel Wrap,Tired,Normal,Light,Veg,Fast Food
Indie Chatpate Aloo Wrap,Tired,Productive,Sweet,Veg,Fast Food
Pindi Chole Wrap,Tired,Productive,Sweet,Veg,Fast Food
Cheesynator Melt Paneer Wrap,Happy,Lazy,Light,Veg,North Indian
Chipotle Crispy Chicken Wrap,Tired,Normal,Light,Non-Veg,Fast Food
Masala Chicken Tikka Wrap,Tired,Lazy,Spicy,Non-Veg,Fast Food
Chilli Crispy Chicken Wrap,Tired,Normal,Heavy,Non-Veg,Fast Food
Chipotle Chicken Strips Wrap,Sad,Lazy,Sweet,Non-Veg,Fast Food
Chicken Bhuna Wrap,Tired,Normal,Light,Non-Veg,Fast Food
Chipotle Chicken Patty Wrap,Stressed,Productive,Heavy,Non-Veg,Fast Food
Malai Chicken Kebab Wrap,Happy,Hectic,Sweet,Non-Veg,Fast Food
Egg Cheese Chicken Sausage Wrap,Stressed,Lazy,Light,Non-Veg,Fast Food
Malai Chicken Cheese Melt Wrap,Stressed,Hectic,Spicy,Non-Veg,Fast Food
Cheese Melt Chicken Bhuna Wrap,Happy,Productive,Light,Non-Veg,Fast Food
Cheese Melt Chicken Tikka Wrap,Stressed,Productive,Sweet,Non-Veg,Fast Food
Chatpata Roll With Double Egg,Happy,Productive,Spicy,Non-Veg,Snacks
Chilli Chicken Strips Wrap,Tired,Normal,Sweet,Non-Veg,Fast Food
Buldak Fried Paneer Korean Wrap (Spicy),Sad,Productive,Heavy,Veg,North Indian
Lebanese Falafel Veggie Wrap,Happy,Hectic,Spicy,Non-Veg,Fast Food
Cheese Paneer Jalapeno Salad Burger Wrap,Stressed,Normal,Heavy,Veg,North Indian
Smoky Diced Paneer Salad Wrap.,Happy,Lazy,Heavy,Veg,North Indian
Cheese Garlic Manchurian Wrap,Sad,Normal,Spicy,Veg,Fast Food
Chimichurri Paneer Burger Wrap.,Stressed,Productive,Light,Veg,North Indian
Chimichurri Paneer Salad Burger Wrap.,Tired,Normal,Sweet,Veg,North Indian
Chilli Manchurian Garlic Wrap.,Sad,Hectic,Sweet,Veg,Fast Food
Buldak Chicken Popcorn Korean Wrap (Spicy),Tired,Normal,Heavy,Non-Veg,Fast Food
Buldak Chicken Strips Korean Wrap,Stressed,Hectic,Heavy,Non-Veg,Fast Food
Spicy Chicken Salad Burger Wrap,Sad,Lazy,Heavy,Non-Veg,Fast Food
Chicken Extravaganza Wrap,Sad,Normal,Heavy,Non-Veg,Fast Food
Jalapeno Cheese Chicken Salad Burger Wrap,Tired,Normal,Spicy,Non-Veg,Fast Food
Spicy Chicken Strips Salad Burger Wrap,Tired,Lazy,Spicy,Non-Veg,Fast Food
Jalapeno Cheese Chicken Strips Salad Burger Wrap,Tired,Hectic,Light,Non-Veg,Fast Food
Smoked Butter Chicken Wrap,Sad,Productive,Sweet,Non-Veg,Fast Food
Lebanese Chicken Meatball Wrap,Stressed,Lazy,Sweet,Non-Veg,Fast Food
Zaikedar Mutton Bhuna Wrap,Stressed,Normal,Spicy,Non-Veg,Fast Food
Chimichurri Chicken Strips Burger Wrap,Tired,Normal,Heavy,Non-Veg,Fast Food
Chimichurri Chicken Strips Salad Burger Wrap,Happy,Hectic,Heavy,Non-Veg,Fast Food
Chimichurri Chicken Burger Wrap.,Stressed,Productive,Heavy,Non-Veg,Fast Food
Chimichurri Chicken Salad Burger Wrap.,Tired,Productive,Heavy,Non-Veg,Fast Food
Classic Smoky Chicken Shawarma.,Sad,Hectic,Sweet,Non-Veg,Fast Food
Classic Peppy Chicken Shawarma.,Sad,Lazy,Light,Non-Veg,Fast Food
Paneer Tikka Shawarma.,Sad,Normal,Light,Veg,North Indian
Special Smoky Chicken Shawarma,Sad,Lazy,Sweet,Non-Veg,Fast Food
Special Peppy Chicken Shawarma,Sad,Productive,Light,Non-Veg,Fast Food
Non-Veg Shawarma with Side & Beverage Meal,Happy,Lazy,Light,Veg,Fast Food
Non-Veg Shawarma & Side Meal,Sad,Normal,Sweet,Veg,Fast Food
Sizzled Falafel Shawarma,Sad,Lazy,Sweet,Veg,Fast Food
Veg Shawarma & Side Meal,Tired,Lazy,Light,Veg,Fast Food
Veg Shawarma with Side & Beverage Meal,Sad,Normal,Light,Veg,Fast Food
Masala Paneer Tikka Wholewheat Wrap,Sad,Hectic,Heavy,Veg,North Indian
Pindi Chole Wholewheat Wrap,Happy,Productive,Light,Veg,Fast Food
Smoky Diced Paneer Salad Wholewheat Wrap,Sad,Hectic,Spicy,Veg,North Indian
Falafel Veggie Lebanese Wholewheat Wrap,Sad,Normal,Light,Non-Veg,Fast Food
Indie Chatpata Aloo Wholewheat Wrap,Stressed,Hectic,Light,Veg,Fast Food
Cheesy Corn Salsa Wholewheat Wrap,Happy,Hectic,Spicy,Veg,Fast Food
Masala Mushroom Wholewheat Wrap,Sad,Lazy,Heavy,Veg,Fast Food
Masala Chicken Tikka Wholewheat Wrap,Happy,Productive,Heavy,Non-Veg,Fast Food
Chicken Bhuna Wholewheat Wrap,Stressed,Normal,Light,Non-Veg,Fast Food
Malai Chicken Kebab Wholewheat Wrap,Happy,Lazy,Heavy,Non-Veg,Fast Food
Lebanese Chicken Meatball Wholewheat Wrap,Happy,Productive,Spicy,Non-Veg,Fast Food
Egg Cheese Chicken Sausage Wholewheat Wrap,Tired,Productive,Heavy,Non-Veg,Fast Food
Cheese Melt Double Egg Wholewheat Wrap,Tired,Normal,Sweet,Non-Veg,Fast Food
Double Egg Chatpata Wholewheat Roll,Happy,Hectic,Light,Non-Veg,Snacks
Veg Classic Wrap with Side and Beverage Meal,Sad,Normal,Light,Veg,Fast Food
Veg Classic Wrap with Side Mini Meal,Sad,Productive,Spicy,Veg,Fast Food
Non-Veg Classic Wrap with Side and Beverage Meal,Stressed,Lazy,Light,Veg,Fast Food
Non-Veg Classic Wrap with Side Mini Meal,Tired,Hectic,Heavy,Veg,Fast Food
Veg Signature Meal,Tired,Hectic,Spicy,Veg,Fast Food
Veg Classic Meal,Happy,Hectic,Heavy,Veg,Fast Food
Masala Paneer Tikka Wrap & Wedges Mini Meal,Tired,Hectic,Heavy,Veg,North Indian
Veg Classic Wrap & Wedges Meal at 189,Sad,Productive,Sweet,Veg,Fast Food
Veg Shawarma and Side Meal .,Stressed,Lazy,Spicy,Veg,Fast Food
Non-Veg Shawarma with Side and Beverage Meal .,Sad,Productive,Light,Veg,Fast Food
Non-Veg Shawarma and Side Meal .,Stressed,Hectic,Light,Veg,Fast Food
Veg Classic Wrap and Beverage Meal at 139,Happy,Lazy,Heavy,Veg,Fast Food
Veg Classic Wrap & Fries Meal at 209,Tired,Hectic,Light,Veg,Fast Food
Non-Veg Signature Meal,Sad,Lazy,Spicy,Veg,Fast Food
Non-Veg Classic Meal,Sad,Hectic,Heavy,Veg,Fast Food
Chicken Bhuna Wrap & Wedges Mini Meal,Sad,Hectic,Heavy,Non-Veg,Fast Food
Non-Veg Classic Wrap & Wedges Meal at 189,Happy,Hectic,Light,Veg,Fast Food
Non-Veg Classic Wrap and Beverage Meal at 139,Happy,Hectic,Spicy,Veg,Fast Food
2 Masala Paneer Tikka Wrap with Fries & Coke Meal,Happy,Hectic,Heavy,Veg,North Indian
2 Chicken Bhuna Wrap with Fries & Coke Meal,Stressed,Hectic,Spicy,Non-Veg,Fast Food
Veg Classic Wrap & Coke Mini Meal,Tired,Lazy,Spicy,Veg,Fast Food
"Veg Classic Wrap, Side & Coke Meal",Tired,Normal,Light,Veg,Fast Food
Veg Signature Wrap & Coke Mini Meal,Tired,Lazy,Heavy,Veg,Fast Food
"Veg Signature Wrap, Side & Coke Meal",Happy,Hectic,Sweet,Veg,Fast Food
Non Veg Classic Wrap & Coke Mini Meal,Happy,Hectic,Sweet,Veg,Fast Food
"Non-Veg Classic Wrap, Side & Coke Meal",Happy,Productive,Light,Veg,Fast Food
Non-Veg Signature Wrap & Coke Mini Meal,Sad,Lazy,Heavy,Veg,Fast Food
"Non-Veg Signature Wrap, Side & Coke Meal",Sad,Normal,Spicy,Veg,Fast Food
Chicken Bhuna Rice Feast (Regular),Stressed,Normal,Light,Non-Veg,Fast Food
Egg Rice Bowl (Regular),Stressed,Productive,Heavy,Non-Veg,Fast Food
Dal Makhani Rice Bowl (Regular),Happy,Lazy,Sweet,Veg,North Indian
Dal Makhani Rice Bowl (Jumbo),Tired,Hectic,Heavy,Veg,North Indian
Rajma Masala Rice Bowl (Regular),Tired,Productive,Light,Veg,Fast Food
Rajma Masala Rice Bowl (Jumbo),Sad,Lazy,Light,Veg,Fast Food
Paneer Signature Rice Bowl (Regular),Sad,Hectic,Heavy,Veg,North Indian
Smoked Butter Chicken Rice Bowl (Regular),Sad,Hectic,Spicy,Non-Veg,Fast Food
Pindi Chole Signature Rice Bowl (Regular),Happy,Normal,Spicy,Veg,Fast Food
Paneer Signature Rice Bowl (Jumbo),Tired,Normal,Light,Veg,North Indian
Mutton Bhuna Rice Bowl (Regular),Stressed,Lazy,Spicy,Non-Veg,Fast Food
Chicken Signature Rice Bowl (Regular),Tired,Hectic,Spicy,Non-Veg,Fast Food
Royal Chicken Rice Bowl (Jumbo),Happy,Productive,Light,Non-Veg,Fast Food
Smoked Butter Chicken Rice Bowl (Jumbo),Tired,Normal,Spicy,Non-Veg,Fast Food
Chicken Signature Rice Bowl (Jumbo),Sad,Normal,Heavy,Non-Veg,Fast Food
Pindi Chole Signature Rice Bowl (Jumbo),Sad,Productive,Sweet,Veg,Fast Food
Chicken Keema Rice Feast (Regular).,Happy,Normal,Light,Non-Veg,Fast Food
Pizza Puff,Happy,Lazy,Heavy,Veg,Fast Food
French Fries,Sad,Lazy,Light,Veg,Fast Food
Potato Wedges,Sad,Normal,Heavy,Veg,Fast Food
Teekha Chaska French Fries,Stressed,Productive,Sweet,Veg,Fast Food
Potato Chilli Shots with Mayo Dip,Tired,Normal,Heavy,Veg,Fast Food
Falafel Shots (6 pieces),Stressed,Normal,Sweet,Veg,Fast Food
Cheesy Chicken Meatballs,Sad,Hectic,Spicy,Non-Veg,Fast Food
Teekha Chaska (Pack of 20),Sad,Productive,Heavy,Veg,Fast Food
Teekha Chaska Sausages,Tired,Normal,Heavy,Veg,Fast Food
Lemon Ice Tea (250 mL),Tired,Normal,Heavy,Veg,Fast Food
Coke (250 mL),Stressed,Productive,Sweet,Veg,Fast Food
Lemon Soda (250 mL),Stressed,Normal,Sweet,Veg,Fast Food
Thums Up Can (330 mL),Tired,Productive,Spicy,Veg,Fast Food
Masala Lemonade (200 mL),Sad,Hectic,Spicy,Veg,Fast Food
Skimmed Mint Buttermilk,Tired,Lazy,Light,Veg,Fast Food
Coca Cola Bottle (475 mL),Happy,Lazy,Spicy,Veg,Fast Food
Coke Zero 330 ml Can,Happy,Productive,Light,Veg,Fast Food
Badam Kesar Thandai,Happy,Productive,Spicy,Veg,Fast Food
Jeera Masala Soda (350 mL),Happy,Hectic,Light,Veg,Fast Food
Walnut Brownie,Happy,Normal,Sweet,Veg,Dessert
Choco Chip Brownie,Tired,Lazy,Heavy,Veg,Dessert
Choco Lava Cake,Sad,Lazy,Sweet,Veg,Dessert
Mango Cheesecake,Tired,Normal,Light,Veg,Dessert
Blueberry Cheesecake,Sad,Normal,Sweet,Veg,Dessert
Biscoff Cheesecake Slice,Happy,Hectic,Heavy,Veg,Dessert
Rich Red Velvet Pastry,Tired,Normal,Spicy,Veg,Fast Food
Moong Dal Halwa (80 gm),Tired,Normal,Heavy,Veg,North Indian
DIY Paneer Classic Wrap and Beverage Breakfast Meal,Happy,Normal,Heavy,Veg,North Indian
DIY Paneer Classic Wrap and Wedges Breakfast Meal,Tired,Normal,Sweet,Veg,North Indian
Double Omelette & Wedges with Masala Bread,Sad,Productive,Spicy,Veg,Fast Food
Paneer Cheese Melt Wrap,Happy,Normal,Sweet,Veg,North Indian
DIY Egg Classic Wrap and Beverage Breakfast Meal,Stressed,Normal,Light,Non-Veg,Fast Food
DIY Egg Classic Wrap and Wedges Breakfast Meal,Sad,Normal,Sweet,Non-Veg,Fast Food
Egg Chicken Sausage Cheese Wrap,Tired,Lazy,Sweet,Non-Veg,Fast Food
Double Egg Chatpata Roll,Happy,Productive,Heavy,Non-Veg,Snacks
Pindi Chana Roll,Tired,Productive,Light,Veg,Snacks
Double Egg Cheese Melt Roll,Stressed,Lazy,Heavy,Non-Veg,Snacks
2 Wrap Breakfast Combo,Happy,Normal,Spicy,Veg,Fast Food
Meatballs Cheesy Omelette with Masala Bread,Happy,Productive,Spicy,Veg,Fast Food
Sausage Cheesy Omelette with Masala Bread,Stressed,Hectic,Light,Veg,Fast Food
Masala Lemonade - Morning Special (200 mL),Happy,Lazy,Heavy,Veg,Fast Food
Masala Paneer Tikka Wrap + Lemon Soda,Sad,Productive,Heavy,Veg,North Indian
Masala Chicken Tikka Wrap + Lemon Soda,Sad,Lazy,Heavy,Non-Veg,Fast Food
Chipotle Aloo Patty Wrap + Pizza Puff (Pack of 2),Tired,Productive,Light,Veg,Fast Food
Chipotle Veg Fingers Wrap + Pizza Puff (Pack of 2),Tired,Lazy,Heavy,Veg,Fast Food
Chipotle Chicken Patty Wrap + Pizza Puff (Pack of 2),Stressed,Normal,Spicy,Non-Veg,Fast Food
Chatpata Aloo Wrap + Wedges + Lemon Soda,Stressed,Hectic,Light,Veg,Fast Food
Double Egg Chatpata Roll + Wedges + Lemon Soda,Sad,Productive,Sweet,Non-Veg,Snacks
Rajma Chawal Bowl,Stressed,Lazy,Light,Veg,Fast Food
Mini Rajma Chawal Bowl,Tired,Lazy,Heavy,Veg,Fast Food
Chicken Biryani Bowl + Thums Up Combo,Stressed,Hectic,Spicy,Non-Veg,Fast Food
Mini Bowl Meal Combo,Tired,Lazy,Heavy,Veg,Fast Food
Pesto Mac & Cheese with Roast Veggies Bowl,Tired,Normal,Sweet,Non-Veg,Fast Food
Pesto Mac & Cheese with Chicken Sausage Bowl,Tired,Productive,Spicy,Non-Veg,Fast Food
Hot Garlic Mac & Cheese with Paneer Tikka Bowl,Stressed,Lazy,Sweet,Veg,North Indian
Hot Garlic Mac & Cheese with Chicken Sausage Bowl,Sad,Productive,Sweet,Non-Veg,Fast Food
Korean Mac and Cheese With Crispy Paneer,Stressed,Productive,Light,Veg,North Indian
